id,age,household_income,weight,height,children,happiness,fitness,food_expenses,alcohol_expenses,tattoos,rhine_swimming,data_use,consultations,anual_hiking_hours,sex,education,confession,fasnacht_active,eye_correction
bas_HYMGN,53.5,8500,50.3,139.7,3,6,4,460,18,0,6,102,8,80,female,SEK_III,evangelical-reformed,no,no
bas_BZPQJ,77.8,6200,64.1,153.1,2,7,2,431,32,0,3,102,6,58,female,SEK_III,confessionless,no,yes
bas_PRART,61.7,8300,63.8,174.6,1,9,7,487,28,0,5,119,3,42,female,SEK_III,confessionless,no,no
bas_ZPTGJ,87.7,7400,99.8,191.4,2,9,3,320,0,4,9,91,4,59,male,SEK_III,confessionless,no,no
bas_IIANP,74.2,6800,78.1,183.8,2,5,7,499,35,1,0,91,2,81,male,apprenticeship,catholic,no,yes
bas_GCQGW,53.1,8e3,67.3,183.4,4,6,3,556,0,0,6,77,2,71,male,SEK_III,catholic,no,no
bas_JZBGB,27.6,6300,82.7,167.9,0,8,5,445,28,3,0,85,2,52,male,SEK_II,confessionless,no,yes
bas_OZGJT,76.8,7900,90.9,171.7,1,6,3,427,18,0,5,112,2,74,male,SEK_II,catholic,no,no
bas_FXWSA,56,6800,70.1,161.6,1,9,6,539,24,2,2,82,6,52,female,apprenticeship,catholic,no,yes
bas_HEYXU,31.2,7500,93.8,178.2,1,6,8,605,25,9,9,101,5,70,male,SEK_II,catholic,no,yes
bas_WQFSF,45.2,1e4,93.3,195.9,0,7,6,482,29,0,6,75,2,18,male,apprenticeship,muslim,no,yes
bas_COEGW,36.1,8e3,61.4,154,3,6,7,293,38,0,6,77,4,55,female,apprenticeship,catholic,no,no
bas_FYOEX,70.5,7200,102,182.7,0,6,5,386,0,0,6,104,2,68,male,SEK_III,catholic,no,yes
bas_MEPKT,49.8,7100,91.5,184.8,3,9,3,479,53,2,4,79,2,36,male,apprenticeship,catholic,no,yes
bas_LNZLG,56,9e3,98.3,202.6,2,5,6,372,0,5,9,88,1,83,male,apprenticeship,confessionless,no,yes
bas_WFVCS,39.2,6200,61.8,151.5,1,9,7,406,30,6,6,112,3,46,female,apprenticeship,confessionless,no,no
bas_ZLZKQ,39.3,5700,96.7,177.4,0,6,6,378,35,6,3,78,4,34,male,apprenticeship,catholic,no,yes
bas_MDAPS,85.8,7300,83,168.3,1,7,3,375,55,0,3,81,4,68,male,SEK_III,catholic,no,yes
bas_FHUCF,76.6,8300,70.6,189.3,2,10,4,494,56,0,8,63,6,60,male,obligatory_school,evangelical-reformed,no,no
bas_UOQKQ,24,7e3,71.4,175.2,2,7,5,487,35,2,4,82,3,69,female,apprenticeship,evangelical-reformed,no,no
bas_JPBJQ,43.5,8300,90.8,168.8,4,6,5,471,33,0,3,94,5,54,male,SEK_III,catholic,no,no
bas_MHBDT,35.1,7100,72.2,154.2,2,5,5,562,34,0,7,43,4,60,female,apprenticeship,evangelical-reformed,no,yes
bas_XJCYF,70.2,8800,56.5,167.8,3,7,3,467,21,0,0,68,2,54,female,SEK_III,catholic,no,yes
bas_KQNDY,28,8600,66.3,166.6,0,5,5,495,0,0,5,110,4,54,female,SEK_III,confessionless,no,yes
bas_CYXKE,27.1,6800,79,144.4,1,9,8,483,40,4,5,108,4,56,female,apprenticeship,catholic,no,yes
bas_SPOVO,18.9,9e3,86.9,181.8,1,9,7,499,43,0,2,123,3,47,male,SEK_III,catholic,no,yes
bas_YVEWQ,30.5,8900,77.7,164.4,2,8,5,575,12,3,2,78,2,40,female,obligatory_school,evangelical-reformed,no,yes
bas_FMOMY,41.5,6500,89.3,168.8,1,9,4,338,28,0,5,101,4,100,male,SEK_III,catholic,no,yes
bas_UUWHP,32.8,7300,60.4,176.6,3,7,4,548,14,5,2,90,3,74,female,obligatory_school,catholic,no,yes
bas_BWRLG,56.1,7400,108.3,184.9,2,9,2,477,51,3,1,83,4,43,male,SEK_III,confessionless,no,no
bas_FISCS,44.9,5800,103.8,184.1,1,7,5,437,37,7,3,63,4,79,male,obligatory_school,catholic,no,no
bas_TQYIL,26.4,7600,65.5,164.1,3,8,5,607,0,4,1,77,5,71,female,SEK_III,confessionless,no,yes
bas_YDQNN,60,7500,82.9,170.6,1,8,6,507,34,0,8,97,1,43,male,apprenticeship,catholic,no,yes
bas_ZKGUQ,42.7,5700,58.6,170.7,2,6,8,408,15,0,1,126,3,88,female,apprenticeship,confessionless,no,yes
bas_WTRSG,99,6800,98.7,179.9,1,7,5,445,45,0,5,73,1,40,male,apprenticeship,confessionless,no,yes
bas_QNMHZ,31.6,7e3,83.4,167.8,2,9,4,451,32,0,4,104,2,108,male,SEK_III,catholic,no,yes
bas_GPUQC,33.9,6300,105.2,199,4,6,5,553,52,4,4,78,4,64,male,SEK_III,catholic,no,no
bas_UHRIS,47.5,6800,43.4,156.5,1,8,5,351,18,2,0,119,5,47,female,obligatory_school,catholic,no,yes
bas_VKUCZ,58.1,5900,93.7,195.8,1,6,3,462,53,0,5,96,3,30,male,apprenticeship,confessionless,no,no
bas_IMKZB,66.1,6900,63.5,182.9,1,5,4,458,47,3,4,80,3,49,male,obligatory_school,catholic,no,yes
bas_UPMJK,76.7,6800,70.7,164.1,0,9,5,337,39,0,3,117,5,112,female,SEK_III,confessionless,no,yes
bas_LVTFE,65.3,7500,87.4,175.6,1,7,2,308,0,4,1,89,2,88,male,SEK_III,catholic,no,no
bas_BEIKQ,43,7e3,58.4,158.1,4,9,5,439,25,0,5,93,5,54,female,SEK_III,catholic,no,yes
bas_ZMMZH,32.9,6600,82.4,167.7,0,6,1,431,55,7,2,105,6,48,male,SEK_III,confessionless,no,yes
bas_FGEWB,66.1,5900,63.9,161.7,2,9,6,532,0,6,4,49,6,38,female,apprenticeship,catholic,no,yes
bas_FNYCU,27.9,6200,89.3,163.6,2,9,4,539,33,1,3,104,2,33,male,SEK_III,confessionless,no,no
bas_VOKHM,25.5,5900,68.4,159.5,2,9,3,197,28,0,3,86,6,36,female,SEK_III,confessionless,no,no
bas_QJKZF,61.6,7400,53.8,172.2,2,9,6,429,19,0,6,88,6,60,female,SEK_III,catholic,no,no
bas_CSYOR,51.7,6300,69.5,170.1,2,7,3,256,21,6,6,73,3,48,female,SEK_III,catholic,yes,yes
bas_MSIIU,57.1,10100,66.4,178,1,7,5,417,21,2,3,114,7,46,female,SEK_III,catholic,no,yes
bas_ESEGP,39.7,7800,64.5,162.8,3,9,8,588,32,6,9,105,7,43,female,apprenticeship,evangelical-reformed,no,no
bas_MAWIZ,72.1,5700,82.5,157.3,2,9,5,468,32,5,5,100,3,48,male,SEK_II,confessionless,no,no
bas_HGVFX,34.2,5500,91.6,175.6,3,9,5,610,60,2,3,131,3,88,male,SEK_III,catholic,no,yes
bas_ZLZCE,62.4,8800,75.9,174.5,4,9,8,574,60,6,6,93,4,76,male,SEK_III,catholic,no,yes
bas_YLHSR,49.1,6800,56.1,168.1,1,8,1,442,29,7,4,87,1,74,female,SEK_III,confessionless,no,no
bas_WWREM,52.3,9300,63.3,160.7,1,8,7,521,22,0,5,91,4,83,female,SEK_III,confessionless,no,yes
bas_BIFRF,53.7,5800,99.7,184,2,7,5,413,41,6,7,41,3,51,male,apprenticeship,other,no,yes
bas_HRUID,40.2,10100,72.2,163.5,1,9,5,465,23,2,3,118,5,50,female,SEK_III,catholic,no,no
bas_NOQET,58.6,7400,84.5,185.8,5,9,8,582,12,0,7,99,3,23,male,SEK_III,catholic,yes,no
bas_SDDDI,50.9,6600,88.6,188.9,1,7,4,434,38,1,7,96,3,86,male,SEK_III,confessionless,no,no
bas_ISETW,60.7,8300,91.3,185,2,9,3,482,0,3,3,91,1,69,male,SEK_III,catholic,no,yes
bas_LWOQW,50.9,6300,69.2,163,0,6,4,418,46,0,0,104,7,68,female,apprenticeship,confessionless,no,yes
bas_DZSHQ,51,6100,63.4,170,1,9,2,483,25,3,0,62,7,47,female,SEK_II,catholic,no,no
bas_IOSWY,58.6,6100,62,175.2,3,6,3,501,17,0,0,110,6,37,female,obligatory_school,muslim,no,yes
bas_YSREK,48,5800,57.8,184.7,3,9,6,424,25,3,4,86,5,41,female,SEK_III,evangelical-reformed,no,yes
bas_JUADW,18.7,6800,61.3,168.4,2,7,7,445,26,1,4,94,7,36,female,apprenticeship,confessionless,no,yes
bas_CMEKP,67.9,7e3,99.8,192.5,1,6,3,289,20,1,8,110,5,52,male,apprenticeship,confessionless,no,yes
bas_IQSQV,35,6900,56.4,160.6,2,9,1,289,27,0,2,103,7,87,female,SEK_III,evangelical-reformed,no,yes
bas_UWHKD,42.4,1e4,80.5,164.2,1,7,5,268,21,0,2,101,5,74,female,SEK_III,catholic,no,yes
bas_IOTIC,49.2,9100,65.3,158.9,1,9,7,400,26,4,2,84,1,96,male,apprenticeship,confessionless,no,no
bas_BHALZ,63.7,5200,68.2,158.7,1,9,5,441,10,0,3,85,6,45,female,obligatory_school,evangelical-reformed,no,yes
bas_FNFTT,37,6600,75.9,165.9,3,9,4,333,21,8,2,78,5,70,female,apprenticeship,catholic,no,yes
bas_XKBMP,66.1,5700,59.6,177.4,1,6,3,467,0,0,1,65,5,59,male,SEK_III,muslim,no,yes
bas_ZYYVU,76.6,7500,93.8,175.2,3,6,0,503,48,0,5,80,4,51,male,apprenticeship,confessionless,no,yes
bas_VZJRY,59.5,7e3,79.7,186,1,9,4,415,34,2,3,85,6,72,male,SEK_III,evangelical-reformed,no,yes
bas_GKPLA,66.1,7300,80.1,168.1,2,9,6,466,12,5,1,68,3,21,male,apprenticeship,confessionless,no,yes
bas_SMEWY,37.7,8300,70.4,182.8,3,8,5,420,43,0,5,58,2,51,male,apprenticeship,evangelical-reformed,no,yes
bas_YFPNN,41.8,7400,59.6,175.7,2,9,5,469,43,0,0,106,3,32,male,SEK_III,evangelical-reformed,no,no
bas_WIBWM,28.5,4900,98.9,183.2,1,9,3,603,42,0,6,88,3,109,male,apprenticeship,catholic,no,yes
bas_TNVPB,53.3,5600,66.5,156.1,1,9,4,439,17,0,6,109,3,38,female,apprenticeship,catholic,no,no
bas_KZKVV,57.5,5300,75.9,176.1,1,9,2,508,38,0,5,114,4,29,male,apprenticeship,confessionless,no,no
bas_RWYWC,66.1,7100,121.3,178.3,1,8,3,314,48,0,2,80,3,76,male,SEK_III,confessionless,no,yes
bas_VIAAY,66.1,7400,68.1,162.8,3,10,2,578,0,0,2,87,4,60,female,SEK_II,confessionless,no,yes
bas_ZHIKM,66.1,8e3,88.2,168.8,2,9,3,287,50,6,0,74,5,97,male,SEK_III,catholic,no,yes
bas_WRRCD,58.9,5e3,76.3,158.1,0,7,8,298,6,0,4,83,0,39,female,SEK_III,evangelical-reformed,no,yes
bas_VURXI,21,8600,86.6,199,2,8,3,479,53,4,5,91,4,70,male,SEK_III,evangelical-reformed,no,yes
bas_SIOLE,23.3,7300,96.8,190.3,1,5,6,424,0,0,2,73,1,119,male,apprenticeship,confessionless,no,no
bas_MKHTP,26,6900,87.7,182.3,2,9,6,369,48,3,2,104,2,84,male,SEK_III,confessionless,no,yes
bas_FQJOH,61.8,5500,79.3,173.9,2,7,7,407,0,1,2,107,3,68,male,apprenticeship,evangelical-reformed,no,no
bas_CMCLO,19.7,7300,64.6,156.2,1,10,5,425,25,0,3,56,5,56,female,apprenticeship,other,no,no
bas_GQUMZ,50.6,7600,67.4,169.8,1,5,8,419,35,0,5,119,8,116,female,SEK_III,catholic,no,yes
bas_XZCJX,31.2,7300,98.2,183.4,1,6,7,377,40,0,6,67,3,31,male,apprenticeship,catholic,no,yes
bas_XSZTZ,66.9,5300,80.5,160.6,2,9,7,513,62,1,4,55,3,16,male,apprenticeship,confessionless,no,no
bas_CXYEF,23.7,6300,45.3,193.8,2,6,0,409,0,0,6,105,6,52,female,apprenticeship,confessionless,no,yes
bas_RICQV,36.9,8e3,64.9,175.3,2,6,2,426,0,3,3,73,2,37,male,obligatory_school,catholic,no,no
bas_TGTOF,57.2,7100,65.3,155,3,7,7,398,13,0,2,90,6,59,female,obligatory_school,evangelical-reformed,yes,yes
bas_CSQTS,41.3,7900,92.5,180.6,1,9,7,403,0,1,6,81,4,70,male,apprenticeship,confessionless,no,yes
bas_QFJPU,37.6,6500,81.1,175.6,5,9,6,460,22,0,9,90,3,52,male,apprenticeship,confessionless,no,yes
bas_BHZDM,57.4,6300,81.4,170.6,3,8,6,540,14,0,5,103,3,105,male,SEK_II,catholic,no,yes
bas_PYPZI,63.8,8200,99.4,167.4,1,7,8,460,54,6,1,105,3,59,male,SEK_III,muslim,no,yes
bas_NSBCV,45.9,6200,64,146.2,1,6,7,495,16,0,7,105,5,23,female,apprenticeship,catholic,no,yes
bas_PKQID,38.8,7800,53.4,178.3,0,9,7,450,45,0,6,103,6,16,male,SEK_III,confessionless,no,no
bas_OKYBV,40.3,6800,92.8,176.9,3,9,3,490,24,4,3,130,4,40,male,apprenticeship,confessionless,no,yes
bas_FQRNV,38.1,7800,93.5,177.4,3,8,6,448,68,5,6,68,4,95,male,apprenticeship,catholic,no,no
bas_UCDQC,42.7,6400,87.5,179.8,3,5,7,359,0,0,1,85,5,39,male,apprenticeship,muslim,no,yes
bas_PHQQY,49.3,5700,88.6,189.7,2,9,1,534,40,0,9,66,1,19,male,obligatory_school,catholic,no,no
bas_IRJJR,53.8,7300,63.2,180.4,1,10,5,385,0,0,6,96,3,62,male,apprenticeship,confessionless,no,no
bas_CTKMS,23.7,6900,59.7,161.5,3,9,6,463,39,3,3,82,3,57,male,SEK_III,confessionless,no,no
bas_JNWUP,30.3,7500,60.7,165,3,6,4,539,25,6,0,103,5,48,female,SEK_III,catholic,no,yes
bas_WMERU,29,8100,71.9,158.7,1,9,3,413,0,0,6,50,6,44,female,apprenticeship,catholic,no,yes
bas_NMKLI,59.1,8800,100.9,164.9,1,8,3,386,29,1,4,66,2,31,male,SEK_III,catholic,no,no
bas_TLHCA,36.2,5700,85.2,173.2,1,6,3,395,42,1,7,80,3,69,male,SEK_III,catholic,no,no
bas_JTJFN,26.1,5200,92.2,164.2,2,9,4,499,45,5,6,139,4,35,male,SEK_III,catholic,no,yes
bas_CRWJM,43.4,8200,96.2,167.9,1,5,7,467,39,4,1,108,1,22,male,SEK_III,evangelical-reformed,no,yes
bas_PCOGC,63.5,7500,60.8,174.7,3,6,5,473,22,2,5,75,4,73,female,apprenticeship,muslim,no,yes
bas_BPRHY,72.2,7400,92,187,2,5,4,335,59,0,5,85,3,104,male,SEK_III,confessionless,no,yes
bas_RQAKZ,46.9,6200,97.5,161.9,3,7,5,568,56,2,4,112,2,9,male,SEK_III,confessionless,no,yes
bas_SWDDC,65.9,5700,57.5,165.4,3,9,1,325,32,5,4,76,4,60,female,SEK_III,confessionless,no,no
bas_JGJQP,25.3,7600,64.4,161.9,2,6,7,475,30,4,5,142,6,51,female,SEK_II,confessionless,no,no
bas_TPAJC,77.4,6700,90.3,177.6,3,9,6,352,28,0,4,83,4,37,male,apprenticeship,evangelical-reformed,no,no
bas_QPDFJ,32.9,6700,51.7,167.4,3,9,3,640,40,0,8,120,4,70,female,apprenticeship,evangelical-reformed,no,yes
bas_JYJKC,66.1,5200,90.1,174.2,1,6,6,577,0,0,7,104,2,62,male,SEK_III,confessionless,no,yes
bas_UVAOP,69.2,6800,64.7,164.2,1,8,5,408,36,4,6,83,1,58,female,apprenticeship,catholic,no,no
bas_MUKEB,50,4800,77.5,189.6,1,9,4,418,22,0,4,74,3,56,male,apprenticeship,evangelical-reformed,no,yes
bas_MOGJS,33.7,7100,92,187.8,0,10,5,312,42,4,5,93,4,109,male,SEK_III,evangelical-reformed,no,yes
bas_ZAPZH,66.1,8100,92,164.2,1,8,7,685,0,4,7,78,4,54,male,apprenticeship,confessionless,no,no
bas_ZPDYI,49,8100,82.6,185,3,9,6,496,48,0,8,119,5,85,male,apprenticeship,catholic,no,yes
bas_EWNOA,74.5,7700,71.1,174.7,1,9,5,392,26,0,7,60,3,39,female,apprenticeship,evangelical-reformed,no,yes
bas_XCSPK,19.6,6600,72,163.3,1,7,5,486,22,3,2,102,9,45,female,apprenticeship,confessionless,no,yes
bas_XPKNJ,69.1,7100,61.1,166.6,0,6,4,457,0,0,8,98,3,36,female,apprenticeship,muslim,yes,yes
bas_MZSRB,89.4,6800,58.7,150.5,2,9,3,474,20,0,0,103,5,66,female,SEK_III,catholic,no,no
bas_AGPBX,22.9,8900,75.6,160,1,7,3,367,30,0,2,120,3,44,female,SEK_II,catholic,no,yes
bas_HYEXN,48.9,10200,61.6,172.7,1,5,6,361,15,0,6,128,8,43,female,apprenticeship,confessionless,no,yes
bas_JRONP,41.5,8700,66.2,157.9,1,9,2,453,13,3,0,112,8,53,female,SEK_III,confessionless,no,no
bas_CPZLS,32,6100,86.6,163.9,3,5,5,471,77,1,2,98,5,81,male,obligatory_school,catholic,yes,yes
bas_FHYZK,32.5,8300,75.3,192.7,2,8,5,317,45,0,6,96,3,22,male,SEK_III,catholic,no,yes
bas_PWKWI,47.4,8800,122.5,194.1,4,8,8,373,8,0,0,106,4,56,male,SEK_III,confessionless,no,yes
bas_XSHNP,49.8,6600,65,168.3,2,5,6,426,27,0,4,116,5,45,female,SEK_III,catholic,no,yes
bas_THKXA,37.3,7300,96.2,180.1,3,9,7,345,24,5,0,72,2,103,male,apprenticeship,other,no,yes
bas_AGTYW,60.7,7200,100.5,153,4,9,5,432,35,0,0,99,5,74,male,SEK_III,other,no,no
bas_DILLT,62,5700,58.1,166.2,2,9,6,370,11,0,0,88,2,63,female,apprenticeship,other,no,yes
bas_QCHFI,21.4,4500,73.3,174.4,2,9,7,346,47,0,8,74,2,119,male,SEK_III,evangelical-reformed,no,no
bas_FFWZB,29.8,7300,87.2,186.6,2,6,7,517,55,0,3,100,3,18,male,obligatory_school,evangelical-reformed,no,no
bas_PENJU,47.2,7300,72.7,156.6,0,9,7,412,18,0,6,76,6,50,female,apprenticeship,catholic,no,no
bas_BNWAZ,86.8,6900,57.3,172.5,2,9,3,469,40,0,3,96,6,77,female,apprenticeship,catholic,no,yes
bas_VXHFS,39.5,7300,89,174.8,3,7,6,466,16,0,4,86,5,71,male,apprenticeship,muslim,no,no
bas_QBDIG,67.8,6900,68,153.9,1,9,7,427,27,2,9,90,4,55,female,apprenticeship,confessionless,no,no
bas_IRVKU,66.1,7e3,73.3,192.3,1,7,8,532,40,0,0,92,5,81,male,SEK_III,confessionless,no,yes
bas_MUMFO,58.4,4400,93.9,180.8,1,5,2,558,48,3,4,78,4,50,male,apprenticeship,confessionless,no,no
bas_CNEPC,66.1,8200,99.2,172.2,2,6,4,523,34,0,3,74,4,74,male,obligatory_school,evangelical-reformed,yes,yes
bas_EQOPF,57.9,7800,63.1,165.6,2,5,4,378,10,0,6,112,4,56,female,apprenticeship,confessionless,no,yes
bas_RUEBZ,29,8600,94.9,193.2,1,9,3,476,47,0,0,52,4,53,male,SEK_III,catholic,no,yes
bas_YDHFM,18.8,7800,59.6,158.1,0,9,4,358,13,9,4,114,3,34,female,apprenticeship,confessionless,no,yes
bas_KZMJO,48.7,7500,102,176.1,1,9,8,488,48,0,6,77,5,39,male,apprenticeship,muslim,no,yes
bas_YDELO,37.7,6600,95.2,187.4,2,6,3,434,48,3,6,96,4,78,male,apprenticeship,catholic,no,yes
bas_HFRRP,19.5,7500,62.2,177.1,3,7,7,359,25,0,4,86,2,34,female,SEK_III,confessionless,no,no
bas_PZYLW,37.2,9700,69.5,161.2,1,9,6,433,0,2,9,95,5,62,male,apprenticeship,catholic,no,no
bas_CFDNV,33,7500,65.1,175.7,1,5,2,605,54,0,0,98,2,63,male,apprenticeship,confessionless,no,yes
bas_IIHAM,59.3,6600,66.7,175.7,2,6,8,409,0,3,7,108,2,46,male,SEK_III,confessionless,no,yes
bas_ERADV,70.9,8200,57.2,163.2,1,7,2,437,0,0,6,113,8,67,female,SEK_III,confessionless,no,no
bas_YIKZZ,46.7,7900,72.3,165.5,2,7,6,502,22,0,4,113,2,84,male,obligatory_school,muslim,no,no
bas_RGDSZ,66.1,8500,70.4,175.4,1,5,5,416,0,0,9,85,1,81,male,SEK_III,catholic,no,yes
bas_JGNNC,44.3,5800,65.9,159,1,6,5,315,0,0,2,94,5,87,female,obligatory_school,confessionless,no,yes
bas_AIPUU,34.3,10200,72.6,172.4,3,9,3,528,69,4,2,89,1,60,male,SEK_III,confessionless,no,yes
bas_LJCYZ,39.5,6e3,68.1,165.9,3,9,6,362,46,0,3,115,6,52,female,obligatory_school,catholic,no,no
bas_WDZTQ,37.1,6900,95.7,175.8,1,9,5,392,44,8,5,94,2,36,male,apprenticeship,confessionless,no,yes
bas_TXJRS,56.6,7300,79.8,159.5,2,5,4,457,41,4,0,76,2,44,male,SEK_III,evangelical-reformed,no,yes
bas_QAPBH,59.3,8300,87.7,168.8,1,7,9,496,36,9,7,59,4,24,male,obligatory_school,other,no,yes
bas_PBOIT,61,7300,73.7,167.6,1,8,5,435,45,5,7,64,7,39,female,apprenticeship,confessionless,no,yes
bas_MCPYP,37.7,8900,62.5,162.6,0,8,1,412,38,4,3,72,8,42,female,SEK_III,confessionless,no,no
bas_ZKMHK,82.2,5400,101.2,158.6,0,7,3,304,0,0,1,95,5,66,male,SEK_III,confessionless,no,no
bas_ZYJQX,23.4,8400,101.9,181.5,0,6,2,475,49,0,5,85,3,10,male,SEK_III,catholic,no,yes
bas_IWUBL,36.7,6700,95.5,193.6,4,5,5,380,37,0,7,75,3,37,male,SEK_III,confessionless,no,no
bas_YFHWH,49.8,5600,60.4,173,3,8,4,456,39,0,5,105,3,89,female,SEK_II,muslim,no,no
bas_RWDMD,46.7,8e3,60.6,156.6,1,9,4,324,43,3,5,69,4,71,female,SEK_III,confessionless,no,no
bas_DMRQW,36.3,5300,85.3,195.4,1,9,4,418,0,5,4,112,3,58,male,SEK_III,other,no,yes
bas_DMVYZ,30.3,9300,67.9,170,3,6,5,424,26,2,1,70,4,70,male,apprenticeship,catholic,no,no
bas_NRJNO,37.7,6500,70.5,162.7,2,7,3,431,24,5,5,65,7,78,female,obligatory_school,catholic,no,yes
bas_OHBGI,28.6,7700,68,177.5,4,9,8,478,22,7,6,50,8,58,female,SEK_III,evangelical-reformed,no,yes
bas_GRAYM,29.8,7600,54,170.9,2,9,5,411,38,1,7,75,7,44,female,apprenticeship,confessionless,no,yes
bas_YIDKJ,50.8,8200,71,166.9,4,8,9,452,0,0,0,67,4,68,female,SEK_II,other,no,yes
bas_TDWNW,85.7,7700,58.4,168,1,6,3,468,0,3,3,95,7,32,female,apprenticeship,catholic,no,yes
bas_IMCFO,33.5,7100,77,169.2,2,8,6,378,0,0,2,99,4,50,male,SEK_III,evangelical-reformed,no,yes
bas_GUGMB,66.1,7500,61.3,153.9,2,9,1,392,39,0,6,59,7,54,female,SEK_III,confessionless,no,yes
bas_SANPN,39.3,7100,66.2,162.5,3,9,4,491,27,0,7,51,6,75,female,apprenticeship,evangelical-reformed,no,yes
bas_VEZCW,49.7,8200,81.3,163.6,0,7,8,632,0,0,3,118,7,29,male,SEK_III,catholic,no,yes
bas_SIAZV,66.1,7800,85,178.8,3,9,5,293,43,0,6,108,4,78,male,apprenticeship,catholic,no,no
bas_FZCED,26,6400,71.4,177.1,2,9,5,454,0,0,6,99,2,71,male,apprenticeship,catholic,no,yes
bas_ZUQGR,66.1,5400,91,169.3,2,9,8,515,37,0,0,89,3,87,male,apprenticeship,other,no,yes
bas_URKAB,63.8,7100,63.6,170.4,1,8,5,555,0,4,6,74,1,58,female,SEK_III,evangelical-reformed,no,yes
bas_HVZHF,66.1,8500,65.5,166.2,1,6,7,395,0,0,7,62,2,105,male,SEK_III,confessionless,no,no
bas_GOWDB,66.1,4800,54,163.8,2,7,3,302,33,0,6,77,3,70,female,SEK_II,catholic,no,no
bas_WSDPY,66.1,5e3,99.6,194.7,2,7,4,275,57,0,6,68,3,103,male,apprenticeship,catholic,yes,no
bas_SRZOR,46.5,5300,60.3,167.5,1,8,7,311,0,0,7,104,2,67,female,SEK_III,confessionless,no,no
bas_HPYGT,43.3,8600,73.6,176.9,5,8,5,455,44,0,6,115,1,63,male,SEK_III,confessionless,no,yes
bas_BOBUE,66.1,6e3,97,185.2,2,7,3,475,33,4,4,74,2,59,male,apprenticeship,confessionless,no,yes
bas_PKEWN,39.4,6400,59.7,182.4,1,9,8,530,36,3,1,66,2,30,male,SEK_III,catholic,no,yes
bas_ECKSL,67.9,7100,88.1,181.5,2,7,3,381,38,6,6,84,3,103,male,apprenticeship,confessionless,no,yes
bas_OFPDV,57.8,7800,63.8,164.2,1,6,8,498,27,7,4,96,7,98,female,SEK_II,evangelical-reformed,no,yes
bas_WBTQQ,66.1,7600,83.5,192.8,1,7,8,427,16,8,3,101,2,9,male,apprenticeship,muslim,no,no
bas_HBPJP,60.3,6400,62.8,166.2,2,7,7,365,33,6,2,105,3,64,female,SEK_III,catholic,no,yes
bas_LLBPR,66.1,7400,66,182.7,5,8,3,444,19,3,5,60,6,44,female,apprenticeship,catholic,no,yes
bas_ANXOA,63,6700,66.2,157.3,1,9,3,481,11,1,3,94,6,48,female,obligatory_school,evangelical-reformed,yes,yes
bas_SVFEY,29.4,8300,57,165.5,4,8,4,380,72,1,3,72,2,63,male,obligatory_school,confessionless,no,yes
bas_QKORG,59,5600,64.7,167.8,3,9,4,332,13,0,3,114,4,66,female,obligatory_school,catholic,no,yes
bas_HDBUA,45.5,7400,75.8,166.3,0,6,2,429,14,0,5,68,4,70,female,SEK_III,evangelical-reformed,no,yes
bas_RTFTG,42.7,6500,54.5,158,3,7,8,369,14,0,9,111,3,43,female,SEK_III,catholic,no,yes
bas_PVRBP,41.9,5900,57.8,164.5,1,5,5,683,22,0,0,104,6,52,female,SEK_III,confessionless,no,yes
